Peak,p-value,q-value,B1050328-154-CRE KP,B1050603-077-CRE KP,B1050723-021-CRE KP,B1050902-121-CRE KP,B1060202-094-CRE KP,B1060217-087-CRE KP,B1060311-004-CRE KP,B1060429-067-CRE KP,B1060522-013-CRE KP,B1060606-077-CRE KP,B1060704-084-CRE KP,B1061002-071-CRE KP,B1061025-055-CRE KP,M1050108-162-CRE KP,M1050123-092-CRE KP,M1050128-177-CRE KP,M1050314-245-CRE KP,M1050420-111-CRE KP,M1050501-018-CRE KP,M1050824-079-CRE KP,M1050926-240-CRE KP,M1051122-089-CRE KP,M1051223-071-CRE KP,M1051230-039-CRE KP,M1060108-042-CRE KP-2,M1060108-060-CRE KP,M1060112-033-CRE KP,M1060118-031-CRE KP,M1060123-258-CRE KP,M1060202-212-CRE KP,M1060214-012-CRE KP,M1060226-032-CRE KP,M1060314-010-CRE KP-2,M1060421-139-CRE KP,M1060522-008-CRE KP,M1060630-118-CRE KP,M1060702-055-CRE KP,M1060716-086-CRE KP,M1060723-056-CRE KP,M1060808-110-CRE KP,M1060810-148-CRE KP,M1060814-076-CRE KP,M1060815-124-CRE KP,M1060908-027-CRE KP,M1060912-032-CRE KP,M1061023-229-CRE KP,B1050119-108-non CRE KP,B1050125-102-non CRE KP,B1050219-053-non CRE KP-2,B1050414-116-non CRE KP,B1050422-104-non CRE KP,B1050429-048-non CRE KP,B1050704-185-non CRE KP-2,B1050714-125-non CRE KP,B1050802-057-non CRE KP,B1050906-127-non CRE KP-2,B1051019-050-non CRE KP,B1060117-004-non CRE KP,B1060125-048-non CRE KP,B1060125-147-non CRE KP,B1060126-056-non CRE KP,B1060126-097-non CRE KP-2,B1060216-038-non CRE KP,B1060223-006-non CRE KP-2,B1060223-082-non CRE KP,B1060310-011-non CRE KP-2,B1060320-165-non CRE KP,B1060326-068-non CRE KP,B1060402-034-non CRE KP,B1060404-034-non CRE KP,B1060406-071-non CRE KP,B1060409-035-non CRE KP,B1060413-035-non CRE KP,B1060421-102-non CRE KP,B1060422-055-non CRE KP,B1060429-096-non CRE KP-2,B1060508-118-non CRE KP,B1060510-109-non CRE KP,B1060512-043-non CRE KP,B1060518-059-non CRE KP,B1060518-100-non CRE KP,B1060910-039-non CRE KP,B1060919-032-non CRE KP,B1060923-134-non CRE KP,B1061015-054-non CRE KP,B1061021-093-non CRE KP,B1061025-014-non CRE KP,M1050120-162-non CRE KP,M1050401-169-non CRE KP-2,M1050912-089-non CRE KP,M1060405-181-non CRE KP-2,M1060407-138-non CRE KP,M1060410-195-non CRE KP,M1060414-167-non CRE KP-2,M1060423-047-non CRE KP
1998.3331,0.021455357,0.371303883,0,0,0,108920.5,88947.25,0,0,102423.2,73728.09,0,96864.34,0,108744.16,105320.89,0,0,0,0,0,0,89279.43,0,0,0,67604.43,0,90706.82,0,0,119602.84,63592.58,111288.74,290090.69,0,76999.55,0,222555.89,222279.25,0,0,115553.42,0,0,0,0,55566.75,0,0,0,0,0,324509.5,0,21978.51,871978,0,0,227569.75,0,661700.69,175573.27,0,0,2521897.5,0,1761363.5,0,210656.19,442986.69,0,0,187149.95,1781133.75,124441.66,0,0,48714.61,0,82226.91,0,305909.06,0,260711.89,125487.17,0,61371.58,123338.33,0,1408793,0,0,75116.98,858306.38,0,35469.57
2007.0906,0.587518296,1,0,0,0,0,53251.91,0,27534.88,32651.95,0,0,0,0,43222.64,0,57318.89,0,0,0,0,57085.2,0,0,0,0,0,0,0,0,0,0,0,30266.63,0,0,0,27739.65,0,0,0,0,0,60528.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128654.12,0,0,0,0,71590.03,0,0,0,0,0,172319.28,0,0,0,0,0,18629.14,46625.61,47412.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133665.38
2012.8807,0.231432512,0.870683441,0,11222.02,0,40042.75,0,0,0,0,0,0,0,5009.13,10465.11,0,0,0,11006.82,0,7959.73,0,23226.86,6896.68,0,0,0,30772.54,0,0,0,0,0,24169.96,0,0,0,4881.67,3867.17,219335.75,0,210913.73,62378.82,213340.95,519787.69,0,0,79593.12,0,0,0,0,0,0,0,0,0,0,0,335068.09,614740.38,1587772.63,9296.39,0,39239.6,367210.47,110551.32,147703.41,0,287767.38,0,0,13609.82,572754.81,1351691.63,1002726.63,0,0,0,0,0,0,0,0,407899.5,10322.29,0,129791.11,47672.81,0,0,0,8171.38,0,85458.72,5697.19,515597.97
2030.6632,0.609175306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85395.37,2477.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7020.97
2036.96,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23746.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088166.25
2059.7615,1,1,0,0,0,0,0,0,0,0,0,0,0,39794.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290222.84,0,0,0,0,0,0,0,40002.96,195099.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529562.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348214.38,0,0,0,0,0,0,0,13532.93,0,0,0,103272.66
2090.549,0.675736911,1,0,135239.75,0,0,0,0,0,0,0,393474.88,103087.57,12482.62,0,0,0,0,0,0,0,0,0,0,0,0,29866.69,0,0,107112.5,25822.87,0,0,0,52949.64,7779.88,0,1339703.13,171452.09,261878.8,210994.02,99193.66,283026.03,0,232875.14,167261.52,0,68576.66,0,0,0,0,0,0,0,0,0,0,0,0,55017.48,0,0,29601.79,244128,0,60468.73,0,189197.58,177545.5,54998.17,16662.28,0,0,0,261013.94,1326926.13,0,59669.93,126818.52,8284.63,43447.76,80069.4,6907.89,0,0,5349.31,0,0,0,260540.92,0,0,75061.66,631398.31,650647.19,2054942
2094.2185,1,1,0,0,0,307558.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47607.65,0,0,0,0,0,0,0,0,15610.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73902.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55003.02,0,0,289245.63
2107.5754,4.53E-04,0.06658398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523910.69,0,0,129362.66,0,0,0,0,25943.01,0,0,0,0,0,0,432919.56,474353.41,0,835118.25,0,0,509739.94,504718.81,1212757.5,142773.91,739789.69,0,0,1849143.63,88801.86,0,0,0,0,0,0,0,0,0,0,402528.88,0,1571.67,0,328922.13,0,0,0,0,0,522638.75,0,64870.32
2124.1025,0.769433749,1,0,0,0,0,0,0,0,0,0,0,0,0,20541.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23070.18,0,0,0,0,0,0,372722.97,0,19863.84,14228.67,0,0,0,39294.16,0,4097.12,0,0,0,0,0,0,0,0,0,0,0,0,0,391745.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338283.44,0,0,668373,0,0,22084.44,0,0,0,1948.75,0,0,0,0,0,0,0,127202.33
